Q1A,Q6A,Q8A,Q11A,Q12A,Q14A,Q18A,Q22A,Q27A,Q29A,Q32A,Q33A,Q35A,Q39A,Extraverted-enthusiastic,Critical-quarrelsome,Dependable-self_disciplined,Anxious-easily upset,Open to new experiences-complex,Reserved-quiet,Sympathetic-warm,Disorganized-careless,Calm-emotionally_stable,Conventional-uncreative,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,screensize,hand,religion,orientation,race,voted,married,familysize,AgeGroups,Condition
2,3,3,2,2,2,2,1,3,2,2,2,2,3,4,5,7,6,6,7,7,5,7,6,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,3,3,2,1,22,1,1,10,0,70,2,1,3,3,2
2,3,3,3,1,1,1,2,2,3,1,1,1,1,6,5,3,6,6,1,5,6,2,2,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,2,3,2,2,20,1,1,6,1,60,1,1,2,2,2
1,1,2,1,1,0,1,0,1,3,0,1,0,1,1,1,7,5,4,7,6,5,5,4,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,3,1,1,42,2,2,7,3,60,2,2,2,4,0
1,1,2,1,1,1,1,1,1,1,1,1,0,1,6,4,5,3,3,2,7,1,7,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,3,2,1,22,1,1,6,1,10,2,1,3,3,1
0,1,1,1,3,0,3,2,1,2,2,2,3,2,1,6,5,5,1,7,1,2,1,3,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,2,3,1,1,15,2,1,2,2,10,2,1,4,1,2
0,3,1,1,1,1,1,2,1,1,3,1,2,1,2,5,2,6,4,4,3,7,1,4,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,4,3,2,2,29,2,1,2,1,60,2,1,2,3,1
2,1,1,2,3,0,3,1,2,3,1,3,1,2,1,6,1,6,6,7,5,7,4,2,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,3,1,17,1,1,2,3,10,2,1,1,2,2
1,2,1,1,2,2,3,1,0,1,1,3,2,0,5,6,5,5,7,7,5,5,3,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,2,2,2,22,1,1,10,3,10,2,1,4,3,1
1,0,1,2,0,1,0,2,1,1,0,0,1,0,6,5,6,5,7,5,6,2,6,3,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,3,2,1,24,1,1,10,1,70,1,1,4,3,0
1,1,1,1,1,2,1,1,1,0,1,0,0,1,5,2,6,5,6,5,7,4,5,4,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,4,3,2,1,24,2,1,6,1,60,2,2,3,3,0
1,1,1,0,1,1,1,3,0,1,0,0,0,0,2,2,4,1,5,2,2,1,6,6,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,2,2,18,1,1,10,4,10,2,1,5,2,0
2,0,1,2,2,1,2,1,1,1,0,1,1,1,5,5,5,6,5,6,6,5,5,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,2,19,1,1,10,5,10,2,1,4,2,1
1,1,1,2,0,2,1,1,2,1,1,0,1,1,5,6,5,3,6,7,3,1,5,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,3,2,2,25,2,1,10,1,10,1,1,3,3,1
2,3,0,2,1,3,2,2,2,3,3,1,3,1,6,7,5,5,7,1,7,6,4,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,1,1,2,39,1,1,10,1,10,2,2,6,4,2
3,3,3,2,3,2,2,3,3,3,2,3,1,3,3,3,7,7,7,5,7,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,2,38,1,1,10,3,10,2,1,0,4,2
1,1,0,1,1,0,1,0,1,0,1,0,0,0,5,4,6,5,7,5,7,5,3,4,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,4,3,2,2,27,1,1,10,1,10,1,2,5,3,0
2,0,1,2,2,0,2,0,1,1,2,2,1,1,6,5,6,3,6,1,6,5,2,5,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,2,25,1,1,10,1,70,1,1,5,3,1
2,2,0,1,1,1,1,1,1,1,0,1,1,1,2,1,4,5,6,4,2,5,6,5,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,3,3,2,2,24,1,1,10,1,10,2,1,9,3,1
0,1,1,1,1,2,0,0,1,3,1,2,1,1,5,1,6,4,7,6,6,5,5,4,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,2,1,2,2,20,1,1,10,4,10,2,1,4,2,1
1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,5,7,6,5,2,6,3,3,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,4,3,2,2,34,1,1,3,1,10,1,2,3,3,0
1,2,2,2,1,1,2,3,2,2,1,2,1,1,6,7,1,6,5,1,5,6,2,5,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,3,2,1,40,1,1,12,2,60,2,3,5,4,2
1,0,1,1,1,2,0,1,1,1,2,1,2,1,2,3,3,4,6,6,5,3,4,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,1,1,26,2,1,2,1,50,2,1,1,3,1
1,0,0,0,0,1,1,0,0,0,1,0,1,0,4,5,6,3,7,4,4,4,5,2,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,2,1,1,15,1,1,4,1,70,2,1,2,1,0
0,3,0,2,2,0,0,2,2,1,2,1,2,1,4,3,6,6,3,5,3,5,3,4,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,3,3,2,2,17,1,1,8,1,10,2,1,2,2,1
1,0,1,1,1,1,2,3,2,0,2,2,1,1,3,4,5,5,4,6,5,3,4,3,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,2,2,1,1,23,1,1,12,1,60,2,1,3,3,1
2,2,1,2,1,0,1,1,1,2,1,1,0,2,1,2,6,5,4,7,7,6,5,4,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,1,2,1,55,1,1,7,1,60,2,3,11,5,1
2,1,1,1,0,1,2,0,1,1,1,1,1,1,6,6,6,7,6,6,7,5,6,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,4,1,2,2,23,1,1,10,5,10,1,1,4,3,1
