,Q3A,Q5A,Q10A,Q13A,Q16A,Q17A,Q21A,Q24A,Q26A,Q31A,Q34A,Q37A,Q38A,Q42A,Extraverted-enthusiastic,Critical-quarrelsome,Dependable-self_disciplined,Anxious-easily upset,Open to new experiences-complex,Reserved-quiet,Sympathetic-warm,Disorganized-careless,Calm-emotionally_stable,Conventional-uncreative,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,screensize,hand,religion,orientation,race,voted,married,familysize,AgeGroups,Condition
20667,0,1,2,1,1,2,1,1,1,1,2,0,0,1,1,4,5,7,5,7,5,3,1,4,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,4,2,2,2,26,1,1,10,1,10,2,1,4,3,1
17019,0,2,1,1,0,1,0,1,1,1,1,1,0,3,4,1,4,1,5,5,7,6,5,7,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,19,1,1,10,4,10,2,1,6,2,0
6269,0,0,1,0,1,1,0,1,1,0,0,0,0,0,4,3,5,2,6,1,1,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,2,20,1,1,10,2,10,2,1,5,2,0
1473,1,2,0,1,0,0,0,0,1,1,0,0,0,1,6,6,3,7,4,1,5,4,2,4,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,1,36,1,1,7,1,60,2,2,3,4,0
34557,0,3,0,2,1,2,2,0,1,0,1,0,1,2,5,4,6,7,3,5,7,7,1,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,1,17,2,1,7,1,60,2,1,3,2,1
35089,0,0,0,1,0,2,3,1,1,0,2,1,3,1,7,6,4,5,7,5,7,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,1,21,1,2,10,1,10,2,1,7,2,1
17342,1,1,0,1,1,1,1,1,1,1,1,1,1,2,6,6,6,4,6,6,6,6,6,5,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,1,2,2,21,2,1,10,1,10,2,1,3,2,1
1302,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,4,7,1,3,2,7,1,6,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,3,3,2,2,28,2,0,4,1,10,1,1,4,3,2
16540,1,2,1,3,1,0,0,2,1,1,1,1,1,3,5,6,4,7,2,7,6,4,4,4,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,3,1,2,2,21,1,2,10,5,10,2,1,5,2,1
8496,1,0,0,1,0,1,0,0,1,0,1,1,0,1,5,3,6,4,4,7,6,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,19,1,1,10,0,10,2,1,5,2,0
